company_location_city,investors,company_location_country,company_founded_on,series,funding_size_usd,date,company_name,company_founders,company_categories
Linkping,"True Ventures, Passion Capital, LDV Capital",SWE,2012-03-01,,3000000,2013-10-03,Narrative,"Simon Pantzare, Sebastian Bjrkelid, Oskar Kalmaru, Martin Kllstrm","Photography, Software, Hardware + Software, Hardware"
Malm,,SWE,2011-09-01,,459585,2013-10-01,Snabboteket,"Jacob Lonroth, Filip Larsson","Mobile, Medical, Pharmaceuticals, Health and Wellness"
Malm,", LMG-industri",SWE,2011-09-01,,298678,2012-12-01,Snabboteket,"Jacob Lonroth, Filip Larsson","Mobile, Medical, Pharmaceuticals, Health and Wellness"
Malm,,SWE,2011-09-01,,85710,2011-09-01,Snabboteket,"Jacob Lonroth, Filip Larsson","Mobile, Medical, Pharmaceuticals, Health and Wellness"
Helsinki,Arteel Ventures,FIN,2012-04-01,,434038,2014-11-24,Sayduck,"Mikael Ylinen, Niklas Slotte, Matt Drew","Mobile Commerce, 3D, Augmented Reality, Mobile"
Helsinki,"Autonomia Oy, , , , , IncubAsia Ventures",FIN,2012-04-01,,500000,2013-07-30,Sayduck,"Mikael Ylinen, Niklas Slotte, Matt Drew","Mobile Commerce, 3D, Augmented Reality, Mobile"
Helsinki,"Arteel Ventures, IncubaAsia Ventures",FIN,2012-04-01,,476568,2014-01-10,Sayduck,"Mikael Ylinen, Niklas Slotte, Matt Drew","Mobile Commerce, 3D, Augmented Reality, Mobile"
Helsinki,Seedcamp,FIN,2012-04-01,,65000,2012-04-01,Sayduck,"Mikael Ylinen, Niklas Slotte, Matt Drew","Mobile Commerce, 3D, Augmented Reality, Mobile"
Helsinki,Seedcamp,FIN,2012-04-01,,66780,2012-04-01,Sayduck,"Mikael Ylinen, Niklas Slotte, Matt Drew","Mobile Commerce, 3D, Augmented Reality, Mobile"
Espoo,Open Ocean,FIN,2009-09-01,a,1300000,2012-12-01,Nordic TeleCom,"Esa Lahtinen, Jarkko Ruuskanen","Communications Hardware, Customer Service, Cloud Computing, Hardware + Software"
Turku,"Broadview Ventures, Inveni Capital",FIN,,,7094556,2012-09-04,Laurantis Pharma,,Biotechnology
Kista,BioArt AB,SWE,2008-04-01,a,2000000,2010-05-05,ReformTech Sweden AB,,"Automotive, Clean Technology"
Vilnius,StartupHighway,LTU,2012-09-26,,14242,2012-01-01,PlaceILive.com,"Sarunas Legeckas, Jokbas Neinas","Big Data, Curated Web, Data Visualization, Data Mining"
Vilnius,Practica Capital,LTU,2012-09-26,,264094,2013-01-01,PlaceILive.com,"Sarunas Legeckas, Jokbas Neinas","Big Data, Curated Web, Data Visualization, Data Mining"
Malm,Industrifonden,SWE,2009-12-07,,1540733,2012-09-12,Anyfi Networks,"Johan Almbladh, Bjrn Smedman","Telecommunications, Wireless, Mobile"
Malm,Industrifonden,SWE,2009-12-07,,1500000,2012-09-12,Anyfi Networks,"Johan Almbladh, Bjrn Smedman","Telecommunications, Wireless, Mobile"
Oulu,Finnvera Venture Capital,FIN,2010-10-01,,,2014-11-20,Liilak,"Juha Karjalainen, Janne Anttila, Jarkko Jokirinta","Sales and Marketing, B2B, Location Based Services, Social Media, Mobile"
