company_location_city,investors,company_location_country,company_founded_on,series,funding_size_usd,date,company_name,company_founders,company_categories
Helsinki,,FIN,2010-08-21,,140000,2011-01-10,Tribe Studios,"Heikkki Vehmas, Ville-Kalle Arponen","EdTech, Education, Entertainment, Social Media, Games"
Helsinki,,FIN,2010-08-21,,270000,2012-01-10,Tribe Studios,"Heikkki Vehmas, Ville-Kalle Arponen","EdTech, Education, Entertainment, Social Media, Games"
Helsinki,,FIN,2010-08-21,,100000,2012-08-29,Tribe Studios,"Heikkki Vehmas, Ville-Kalle Arponen","EdTech, Education, Entertainment, Social Media, Games"
Helsinki,,FIN,2010-08-21,,140000,2013-08-29,Tribe Studios,"Heikkki Vehmas, Ville-Kalle Arponen","EdTech, Education, Entertainment, Social Media, Games"
Turku,", , ",FIN,2010-11-01,,300000,2013-04-17,Walkbase,"Niclas Jern, Gabriel Nyman, Bjrn Sjlund, Tuomas Wuoti","Big Data, Location Based Services, Advertising, Analytics, Retail, Wireless, Mobile"
Turku,"SBT Venture Capital, ",FIN,2010-11-01,a,3859800,2013-11-12,Walkbase,"Niclas Jern, Gabriel Nyman, Bjrn Sjlund, Tuomas Wuoti","Big Data, Location Based Services, Advertising, Analytics, Retail, Wireless, Mobile"
Helsinki,,FIN,2010-10-01,,500000,2011-08-10,Plango,"Petri Sakkinen, Mika Marjalaakso","iOS, Messaging, iPhone, Events, Social Media"
Vilnius,,LTU,2011-01-01,,,2011-07-01,StartupHighway,"Darius Zakaitis, Rokas Tamoinas, Martynas Nikolajevas","Automotive, B2B, Finance, Incubators"
Stockholm,"Almi Invest, Sting Capital, Industrifonden",SWE,2006-10-01,,1411955,2011-08-18,SEEC AB,,Clean Technology
Stockholm,Almi Invest,SWE,,,627535,2011-08-18,Clipsource,,News
Helsinki,Finnish Industry Investment,FIN,,,,2011-08-24,Academica,Bora Unal,Consulting
Helsingborg,Interlink Investments,SWE,2003-01-01,,21649500,2011-08-24,Occlutech,,Manufacturing
Helsinki,,FIN,2011-01-01,a,2000000,2014-01-28,Transfluent,"Jani Penttinen, Xiaowen Sun","Curated Web, Translation, Local, Services, SaaS, Crowdsourcing"
Helsinki,,FIN,2011-01-01,,1000000,2012-09-14,Transfluent,"Jani Penttinen, Xiaowen Sun","Curated Web, Translation, Local, Services, SaaS, Crowdsourcing"
Helsinki,,FIN,2011-01-01,,288300,2011-08-01,Transfluent,"Jani Penttinen, Xiaowen Sun","Curated Web, Translation, Local, Services, SaaS, Crowdsourcing"
Kista,Sting Capital,SWE,,,1136175,2011-08-30,Antrad Medical,,Health Care
Helsinki,Speedinvest,FIN,2011-01-01,,1368070,2014-05-22,Holvi,"Teemu Hukkanen, Tuomas Toivonen, Kristoffer Lawson","FinTech, Banking, Finance, Technology"
Helsinki,,FIN,2011-01-01,,357699,2011-08-01,Holvi,"Teemu Hukkanen, Tuomas Toivonen, Kristoffer Lawson","FinTech, Banking, Finance, Technology"
Helsinki,,FIN,2011-01-01,,990356,2013-01-01,Holvi,"Teemu Hukkanen, Tuomas Toivonen, Kristoffer Lawson","FinTech, Banking, Finance, Technology"
Stockholm,,SWE,2004-04-01,a,1582085,2011-04-01,The Local,"James Pearn, Paul Rapacioli","News, Advertising, Media"
Stockholm,,SWE,2004-04-01,a,493869,2010-02-01,The Local,"James Pearn, Paul Rapacioli","News, Advertising, Media"
Stockholm,"IQube, 6th AP Fund",SWE,2004-04-01,,1857559,2007-10-01,The Local,"James Pearn, Paul Rapacioli","News, Advertising, Media"
Tampere,"Finnish Industry Investment, DFJ Esprit",FIN,2001-01-01,a,7843200,2013-04-30,M-Files,,"Cloud Computing, Enterprises, Software, Knowledge Management, Document Management"
Mysen,Crystal Horse Investments,NOR,2010-03-17,,1000000,2011-11-01,Ocision,Ng Say Joe,"Property Management, Curated Web, Hotels, Home & Garden, Real Estate"
Mysen,,NOR,2010-03-17,,500000,2011-05-01,Ocision,Ng Say Joe,"Property Management, Curated Web, Hotels, Home & Garden, Real Estate"
Mysen,,NOR,2010-03-17,,100000,2010-03-01,Ocision,Ng Say Joe,"Property Management, Curated Web, Hotels, Home & Garden, Real Estate"
Stockholm,American International Group,SWE,,a,1200000,2011-09-21,Ironroad USA,,Messaging
Mikkeli,Sitra Ventures,FIN,,,,2011-09-23,Savosolar,,Clean Technology
Linkping,,SWE,2010-11-02,,,2011-04-12,SenionLab,"Jonas Callmer, Fredrik Gustafsson, Christian Lundquist, Per Skoglar, David Trnqvist, Peter Bunus","Location Based Services, Software"
Linkping,,SWE,2010-11-02,,,2010-11-15,SenionLab,"Jonas Callmer, Fredrik Gustafsson, Christian Lundquist, Per Skoglar, David Trnqvist, Peter Bunus","Location Based Services, Software"
Tampere,Intera Partners,FIN,,,,2011-09-25,Tamtron,,
Stockholm,KTH Chalmers Capital,SWE,,,1020965,2011-10-02,Euroling,,Search
Stockholm,"Creandum, Atomico, SEB Private Equity, Greylock Partners, Qualcomm Ventures, American Express",SWE,2011-05-01,b,15000000,2013-06-13,Wrapp,"Aage Reerslev, Magnus Hult, Carl Fritjofsson, Andreas Ehn, Hjalmar Winbladh","Gift Card, Curated Web, App Stores, Apps, Social Media, Facebook Applications, Mobile"
